web-scraper-order,web-scraper-start-url,document url,document url-href,Title,Date,Text body,Author
1743441365-1,https://cyberleninka.ru/search?q=%D0%9A%D0%B8%D0%B1%D0%B5%D1%80&page=1,"Развитие транспортно-логистических отраслей Европейского Союза: открытый BIM, Интернет Вещей и кибер-физические системы",https://cyberleninka.ru/article/n/razvitie-transportno-logisticheskih-otrasley-evropeyskogo-soyuza-otkrytyy-bim-internet-veschey-i-kiber-fizicheskie-sistemy,"Развитие транспортно-логистических отраслей Европейского Союза: открытый BIM, Интернет Вещей и кибер-физические системы",2018,"В статье рассматриваются вопросы развития транспортных и логистических отраслей в Европейском Союзе (ЕС). В статье речь идет о таких инструментах как открытый BIM, приложения Интернета Вещей и более общее направление – кибер-физические системы. В работе отмечается важность управления инфраструктурами. Отмечается, что именно состояние инфраструктур является сдерживающим фактором развития транспорта и логистики. И именно проблемы управления этими инфраструктурами, как в оперативном плане, так и в жизненном цикле активов, с целью получения максимальных экономических и иных выгод оказываются основной целью внедрения новых информационных технологий в транспортно-логистической отрасли. При этом все решения должны учитывать развитие современных цифровых и иных технологий и интеграцию всех видов транспорта. Особое внимание уделено онтологическими и семантическими системами стандартизации.",В. П. Куприяновский
1743441367-2,https://cyberleninka.ru/search?q=%D0%9A%D0%B8%D0%B1%D0%B5%D1%80&page=1,Моделирование мультиагентной системы кибер-физических устройств для решения проблем управления и контроля безопасности периметра,https://cyberleninka.ru/article/n/modelirovanie-multiagentnoy-sistemy-kiber-fizicheskih-ustroystv-dlya-resheniya-problem-upravleniya-i-kontrolya-bezopasnosti-perimetra,Моделирование мультиагентной системы кибер-физических устройств для решения проблем управления и контроля безопасности периметра,2019,"В статье рассматриваются существующие базовые средства разработки мультиагентных систем и предлагается архитектура киберфизической системы безопасности. При этом, основной целью моделируемой системы является повышение уровня защищенности помещения со сложной планировкой. Система ориентирована на реализацию в программноаппаратной среде и включает три функциональных уровня: агрегирования, периферийный и сбора данных. В рамках эксперимента описан программный прототип интеллектуального агента мультиагентной системы для мониторинга помещении.",Проничев А.П.
1743441371-3,https://cyberleninka.ru/search?q=%D0%9A%D0%B8%D0%B1%D0%B5%D1%80&page=1,"Звуки, рожденные из чисел, кибер-театр и компьютерная поэзия: эстетика случайности в кибернетическом искусстве 1950-1960-х гг",https://cyberleninka.ru/article/n/zvuki-rozhdennye-iz-chisel-kiber-teatr-i-kompyuternaya-poeziya-estetika-sluchaynosti-v-kiberneticheskom-iskusstve-1950-1960-h-gg,"Звуки, рожденные из чисел, кибер-театр и компьютерная поэзия: эстетика случайности в кибернетическом искусстве 1950-1960-х гг",2009,"Автор анализирует историю и эстетику кибернетического искусства 1950-1960-х гг., которым пока не уделялось достаточного внимания в отечественных исследованиях культуры ХХ в. Делается акцент на проблематике соотношения технологической детерминации (кибернетический компьютерный контроль) и эстетических поисков объективной случайности (хаос, энтропия) в рамках музыкального, поэтического и исполнительского искусств с использованием компьютерных технологий",Галкин Дмитрий Владимирович
1743441374-4,https://cyberleninka.ru/search?q=%D0%9A%D0%B8%D0%B1%D0%B5%D1%80&page=1,Киберметрия типов адаптационного поведения людей с ограниченными возможностями здоровья как направление исследований в сфере социологии инвалидности,https://cyberleninka.ru/article/n/kibermetriya-tipov-adaptatsionnogo-povedeniya-lyudey-s-ogranichennymi-vozmozhnostyami-zdorovya-kak-napravlenie-issledovaniy-v-sfere,Киберметрия типов адаптационного поведения людей с ограниченными возможностями здоровья как направление исследований в сфере социологии инвалидности,2015,"В статье отражены основные результаты авторского киберметрического исследования маркеров адаптации людей с ограниченными возможностями здоровья. В качестве методологической основы исследования обосновываются концепции и подходы к социальной адаптации инвалидов, существующие в рамках феноменологической парадигмы. Сообщения людей с инвалидностью в социальных медиа рассматриваются как маркеры социальной адаптации данной категории населения в виртуальном пространстве. Результаты киберметрического и контент-анализа сообщений инвалидов в социальных медиа отражают специфику восприятия адаптации людьми с ограниченными возможностями здоровья. Описаны основные адаптационные стратегии и схема разработки словарей данных типов для дальнейших киберметрических исследований данной предметной области. Особое место уделено проблеме методов сбора эмпирической информации в сфере социологии инвалидности и обоснованию киберметрии как значимого метода получения неспровоцированной информации в масштабе Big Data (больших данных). В заключении приводятся основные выводы,проблемы указанного направления исследования и возможные пути их решения.",Домбровская А.Ю.
1743441376-5,https://cyberleninka.ru/search?q=%D0%9A%D0%B8%D0%B1%D0%B5%D1%80&page=1,Кибернетическая лудомания — новая область психологических исследований криминальной агрессии подростков,https://cyberleninka.ru/article/n/kiberneticheskaya-ludomaniya-novaya-oblast-psihologicheskih-issledovaniy-kriminalnoy-agressii-podrostkov,Кибернетическая лудомания — новая область психологических исследований криминальной агрессии подростков,2013,"В статье рассматривается влияние на поведение подростков компьютерных игр с сюжетным содержанием насилия и жестокости. Проведен анализ проблем агрессии в разных странах, представлены исследования последних лет в этой сфере, выделены причины развития данного явления и взаимосвязь криминального поведения и компьютерных игр.",Лебедев Игорь Борисович
1743441379-6,https://cyberleninka.ru/search?q=%D0%9A%D0%B8%D0%B1%D0%B5%D1%80&page=1,УГРОЗЫ В ИНТЕРНЕТЕ И СПОСОБЫ ИХ УСТРАНЕНИЯ,https://cyberleninka.ru/article/n/ugrozy-v-internete-i-sposoby-ih-ustraneniya,УГРОЗЫ В ИНТЕРНЕТЕ И СПОСОБЫ ИХ УСТРАНЕНИЯ,2021,"Суть этой статьи состоит в том, чтобы обсудить положительные и отрицательные последствия использования Интернета в современном информационном обществе, а также то, почему он необходим и каковы его преимущества. Однако удобство и преимущества, которые Интернет предоставляет людям, не являются только они, но также и тип сети, который создает множество проблемных ситуаций.В статье подробно рассказывается о том, как преодолеть эти удобства и проблемные ситуации.",Қулмаматов С.И.
1743441382-7,https://cyberleninka.ru/search?q=%D0%9A%D0%B8%D0%B1%D0%B5%D1%80&page=1,АХБОРОТЛАШГАН ЖАМИЯТДА ИНТЕРНЕТДАН ФОЙДАЛАНИШНИНГ ИЖОБИЙ ВА САЛБИЙ ОҚИБАТЛАРИ,https://cyberleninka.ru/article/n/ahborotlashgan-zhamiyatda-internetdan-foydalanishning-izhobiy-va-salbiy-o-ibatlari,АХБОРОТЛАШГАН ЖАМИЯТДА ИНТЕРНЕТДАН ФОЙДАЛАНИШНИНГ ИЖОБИЙ ВА САЛБИЙ ОҚИБАТЛАРИ,2022,"Мақолада бугунги кунда ахборотлашган жамиятда интернетдан фойдаланишнинг ижобий ва салбий оқибатлари, интернет нима учун керак ва унинг қандай фойдалари борлиги, интернетнинг инсонларга тақдим этадиган қулайликлари, фойдали жихатлари ёритиб берилган. Шунингдек ижтимоий тармоқлардан қулайлик хавфсиз фойдаланиш ва муаммоли вазиятларни бартараф этишга қаратилган тавсиялар берилган.",Абдурахимов Д.Б.
1743441385-8,https://cyberleninka.ru/search?q=%D0%9A%D0%B8%D0%B1%D0%B5%D1%80&page=1,РАЗРАБОТКА СИСТЕМЫ УПРАВЛЕНИЯ КИБЕРИНЦИДЕНТАМИ В СЕТЯХ LTE,https://cyberleninka.ru/article/n/razrabotka-sistemy-upravleniya-kiberintsidentami-v-setyah-lte,РАЗРАБОТКА СИСТЕМЫ УПРАВЛЕНИЯ КИБЕРИНЦИДЕНТАМИ В СЕТЯХ LTE,2020,"Каналы связи характеризуются вероятностью ошибочного приема под воздействием различных помех (шумов) в пределах p=10-2-10-5, реже 10-6 и меньше. В условиях радиоэлектронной подавления систем и сетей радиосвязи величина р может достигать р≥10-1. Современные системы передачи данных требуют вероятности ошибок на алфавитный знак на выходе не более Рпо ≤ 10-6-10-10, поэтому, ставится задача повышения достоверности на 3-5 порядков и более. Методы повышения вероятности: применение помехоустойчивых методов модуляции и методов демодуляции сигналов на приемной стороне; применение помехоустойчивых кодов, обнаруживающих и исправляющих ошибки в принятой кодовой комбинации; улучшение характеристик каналов связи, что зависит от технических характеристик и экономической целесообразности; использование систем с обратной связью, в которых по обратному каналу от приемника до передатчика передаются запросы (отзывы) относительно принятого сообщения, с целью повторной передачи сообщения в целом или его части; использованием разнообразных методов повышения вероятности, что имеет место на практике; неоднократное повторение сообщения по каналу связи или по параллельным каналам, с специальной обработкой, например, мажоритарной обработкой или синхронным накоплением, на приемной стороне.",Байсаева Малика Усамовна
1743441387-9,https://cyberleninka.ru/search?q=%D0%9A%D0%B8%D0%B1%D0%B5%D1%80&page=1,"Административные правонарушения, совершаемые в Интернете",https://cyberleninka.ru/article/n/administrativnye-pravonarusheniya-sovershaemye-v-internete,"Административные правонарушения, совершаемые в Интернете",2011,"Сегодня существует достаточно много статей и работ, посвященных анализу противоправных деяний, совершенных при помощи компьютеров и компьютерных сетей, но в них в основном анализируется только гл. 28 Уголовного кодекса РФ. В данной статье автор рассматривает правонарушения, совершаемые в Интернете с позиции административного права.",Новгородов Д.А.
1743441390-10,https://cyberleninka.ru/search?q=%D0%9A%D0%B8%D0%B1%D0%B5%D1%80&page=1,Повышение точности оценки состояния динамичных объектов комплексом MATLAB-Arduino при проектировании кибер-физических систем,https://cyberleninka.ru/article/n/povyshenie-tochnosti-otsenki-sostoyaniya-dinamichnyh-obektov-kompleksom-matlab-arduino-pri-proektirovanii-kiber-fizicheskih-sistem,Повышение точности оценки состояния динамичных объектов комплексом MATLAB-Arduino при проектировании кибер-физических систем,2016,"Решена задача повышения эффективности взаимодействия MATLAB и Arduino при проектировании кибер-физических систем путем внесения изменений в реализацию стандартного протокола обмена со стороны Arduino. Предложено при запросе MATLAB на чтение данных с первого аналогового порта Arduino выполнять аналогово-цифровое преобразование данных со всех требуемых аналоговых портов с дальнейшей последовательной передачей полученных данных в MATLAB, что позволяет повысить качество управления динамичными процессами за счет уменьшения области неопределенности состояния многомерной быстродействующей системы управления. Кроме того, предложено функции предварительной обработки показаний датчиков выполнять средствами Arduino, что повышает гибкость кибер-физической системы за счет возможности изменения аппаратного обеспечения без изменения программного кода и протокола обмена MATLAB. Формальное описание взаимодействия MATLAB и Arduino позволяет реализовать протокол обмена с использованием беспроводных интерфейсов, микропроцессорных устройств и платформ, не совместимых с Arduino.",Гурко А. Г.
