web-scraper-order,web-scraper-start-url,article URL,article URL-href,Title,author,article,Resourses
"1742834176-1","https://scilead.ru/search?q=%D0%BA%D0%B8%D0%B1%D0%B5%D1%80%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C","Ахметшина Регина Ильдаровна,Исмагилов Ильдар Рашидович,Гильманова Эллина АделевнаК вопросу о актуальности обеспечения информационной безопасности объектов  критически важной информационной  инфраструктуры","https://scilead.ru/article/1829-k-voprosu-o-aktualnosti-obespecheniya-informa","К ВОПРОСУ О АКТУАЛЬНОСТИ ОБЕСПЕЧЕНИЯ ИНФОРМАЦИОННОЙ БЕЗОПАСНОСТИ ОБЪЕКТОВ  КРИТИЧЕСКИ ВАЖНОЙ ИНФОРМАЦИОННОЙ  ИНФРАСТРУКТУРЫ","Ахметшина Регина Ильдаровна","Информационные технологии (ИТ) представляют неотъемлемую часть жизни современного человека. Данные технологии работают на базе использования множества средств и методов сбора, обработки, а также передачи данных с целью получения информации необходимого качества и состоянии какого-либо объекта, процесса или явления из энергетической отрасли. Основной целью информационных технологий является усовершенствование и автоматизация производственных процессов на предприятии. Информационные технологии являются лидирующим направлением в профессиональной сфере человека. Повсеместно внедряются и разрабатываются совершенно новые и ранее неизученные технологии. На современных предприятиях происходит интенсивное распространение с совместным совершенствование цифровых и информационных технологий. Данное направление в течение длительного времени определяет основные траектории развития экономики и общества, а также уже не один раз приводило к колоссальным изменениям, касающихся жизни людей.

Цифровые и информационные технологии – это важнейшая часть современных систем управления, находящихся во всех отраслях экономики на сегодняшний день. Следствием данного фактора является появление новых кибер-угроз и кибератак, совершаемых в областях, в основе которых функционируют различные информационные системы и иные информационные технологии. В современном мире складывается тенденция роста количества попыток совершения киберпреступлений на объектах критически важной информационной инфраструктуры (КИИ) с помощью использования информационно-коммуникационных технологий (ИКТ) [1].

Критически важными информационными инфраструктурами являются информационные системы, информационно-телекоммуникационные сети, автоматизированные системы управления субъектов КИИ, а также сети электросвязи, используемые для организации их взаимодействия. Компьютерная атака на КИИ определяется как целенаправленное вредоносное воздействие на объекты КИИ для нарушения или прекращения их функционирования, а компьютерное происшествие в качестве факта нарушения или же прекращения функционирования объекта КИИ или нарушения безопасности обрабатываемой объектом информации.

Категория значимости объекта критически важной информационной инфраструктуры может принимать одно из трех значений (где самая высокая категория - первая, самая низкая - третья) и зависит от количественных показателей значимости этого объекта в социальной, политической, экономической и оборонной сферах. Процесс категорирования данных объектов проводится внутренней комиссией по категорированию субъекта КИИ, в результате чего формируется список объектов КИИ с категориями значимости и затем отправляется в ФСТЭК России, где полученные сведения вносятся в специальный реестр объектов КИИ. Таким образом, категорирование КИИ состоит из нескольких взаимосвязанных шагов, результатом которых является составление субъектом КИИ Акта категорирования КИИ и наполнение реестра объектов КИИ данными с соответствующими категориями значимости.

Множественные удачные попытки подобного рода преступлений свидетельствуют о том, что посредством ИКТ действительно можно нанести колоссальный как физический, так и информационный ущерб. Необходимо отметить, что при нахождении киберпреступником уязвимости в одном из компонентов информационной системы на критически важных объектах, представляется возможным осуществление целенаправленных нападений на объекты по всему миру [2].

Необходимо отметить, что игнорирование возникающих проблем способно привести к потере конкурентоспособности как на государственном, так и на корпоративном уровне. Также от преступлений в информационной сфере страдают не только организации и предприятия, но и обычные граждане, пользующиеся гаджетами и иными средствами коммуникации.

Актуальность угрозы целостности информационных ресурсов требует внимание в отношении задач по ее защите. Стоит отметить, что 20 лет назад задача, связанная с обеспечением информационной безопасности, решалась посредством применения алгоритмов шифрования, установления межсетевых экранов, разграничения доступа и так далее. На сегодняшний день данных технологий недостаточно, именно поэтому практически любая информация, имеющая финансовый, конкурентный, военный или политический характер подвергается угрозе. Также дополнительным риском является возможность перехвата управления критическими объектами информационной инфраструктуры.

Исходя из этого, на современных объектах КИИ особую актуальность приобретают задачи, решение которых направлено на своевременное обновление базовых компонентов систем управления. Также стоит отметить, что на сегодняшний день не только со стороны производителей, но и со стороны самих потребителей не всегда уделяется должное внимание вопросу кибербезопасности. Совокупность данных факторов приводит к развитию новых методов и угроз нарушения безопасности.

Таким образом, посредством информации и информационных технологий передаются конфиденциальные данные, производятся транзакции на различных предприятиях, производится хранение и работа с засекреченной информацией и так далее. Данный список можно перечислять бесконечно, так как в век информационных технологий практически все процессы, происходящие в жизнедеятельности человека, основывается на применении информационных технологий и информации, в частности. Исходя из этого формируется проблема, связанная с защитой информации и информационных ресурсов в целом. Информационная безопасность является одной из ключевых и приоритетных направлений на сегодняшний день. Каждые полгода количество атак на информационные ресурсы предприятий растет на 4-5%. Также стоит отметить, что с ростом числа нарушений снижается доля их раскрываемости, которая не превышает 41% [3].

Исходя из вышеперечисленных факторов, вопрос обеспечения информационной безопасности на объектах КИИ имеет достаточно высокую актуальность. На сегодняшний день должно уделяться намного большее внимание, касаемо данного вопроса. Недостаточный уровень развития информационной безопасности подобных объектов способен привести к колоссальным последствиям для экономики не только одной страны, но и всего мира.","Лебедь В.Н., Терещенко Б.И., Восканян К.А. Управление процессами обеспечения кибербезопасности как фактор международной стабильности // Коммуникология: электронный научный журнал. 2017.Ковалев А. А., Балашов А. И. Международно-правовые аспекты политики кибербезопасности некоторых европейских стран бывшего советского блока // Вестник ПАГС. 2018.Garin E.V. Foreign experience of using artificial intelligence technologies in ensuring information security of the banking sector // The territory of new opportunities. 2019."
"1742834178-2","https://scilead.ru/search?q=%D0%BA%D0%B8%D0%B1%D0%B5%D1%80%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C","Широнина А.А.Прогнозируемые результаты комплексной оценки безопасности сети газораспределения в городской среде","https://scilead.ru/article/7222-prognoziruemie-rezultati-kompleksnoj-otsenki-","ПРОГНОЗИРУЕМЫЕ РЕЗУЛЬТАТЫ КОМПЛЕКСНОЙ ОЦЕНКИ БЕЗОПАСНОСТИ СЕТИ ГАЗОРАСПРЕДЕЛЕНИЯ В ГОРОДСКОЙ СРЕДЕ","Широнина А.А.","Федеральный закон «О промышленной безопасности опасных производственных объектов» от 21 июля 1997 г. №116-ФЗ определяет правовые, экономические и социальные основы обеспечения безопасной эксплуатации опасных производственных объектов [1].

Результаты анализа причин выхода из строя газораспределительной сети показывают, что основной причиной являются механические и коррозионные повреждения трубопровода, а также разрыв сварного шва. В результате случайного воздействия во время работ в охраняемой зоне газопровода были нанесены механические повреждения наземной и подземной частям газопровода. Из-за неточных инструкций по прокладке газовой сети в проектной документации, а также халатности или ошибок строительного персонала при проведении земляных работ [2, с. 33]. Механическое повреждение является случайным. Коррозионные повреждения вызваны эрозией почвы и/или присутствием случайных электрических токов. Из-за температурного воздействия при оттаивании грунта зимой и весной, а также из-за воздействия атмосферных осадков качество сварного шва ухудшается и происходит разрушение сварного шва. Иногда перелом шва бывает вызван некачественной сваркой стыков и наличием дефектов [4, с. 9].

Некоторые результаты прогнозирования комплексной оценки безопасности газораспределительных сетей в городской среде:

1. Определить несчастный случай и его причину. Исходя из этого, можно сформулировать меры, направленные на предупреждение сетевых аварий. 

 

2. Оценка риска сбоя. Для этого необходимо установить зависимость, принимая во внимание вероятность несчастных случаев и событий, а также риск их последствий. 

 

3. Расчет вероятности того, что опасные условия не возникнут. Например, по формуле Г.Н. Черкасова (1974). Формула Г.Н. Черкасова (1974 г.) для вычисления вероятности невозникновения опасного состояния [3, с. 14]:



tз – время, обеспеченное использованием хранилища; 

tв – время восстановления;     

tдоп – резерв времени.

 

Формула применяется, когда отказ не приводит к немедленному появлению опасного состояния, и есть резервное время, за которое система может быть восстановлена до появления опасного состояния.

4. Оценить экономические потери, вызванные аварией. Принимая во внимание все финансовые потери организации, эксплуатирующей объект, затраты на ликвидацию и расследование аварии, а также социально-экономические потери, связанные с человеческими жертвами [5, с. 21]. 

 

Комплексная оценка безопасности учитывает местоположение системы, условия трассы, человеческий фактор, динамику трубопроводов и оборудования, режимы работы, результаты диагностики, сертификацию и другие конструктивные и технические характеристики технического состояния. Риск прогнозирования социально-экономических последствий выхода из строя газораспределительной сети может быть основан на учете различных видов потерь (например, физических травм, потери здоровья, утраты имущества, доходов ниже ожидаемых и т.д.).","Федеральный закон «О промышленной безопасности опасных производственных объектов» от 21 июля 1997 г. № 116-ФЗГалеев А.Д. Анализ риска аварий на опасных производственных объектах: учебное пособие / А.Д. Галеев, С.И. Поникаров: Изд-во КНИТУ, 2017. – 152 с.Лепеш Г.В. Имитационное моделирование состояния и функционирования технических устройств и систем. // Технико-технологические проблемы сервиса. - 2019. –  №3(49). – . С. 13 – 22Лепеш Г.В. Прогнозирование безопасности технических систем // Технико-технологические проблемы сервиса. – 2019. – № 2. (48). –  С. 9-16Надежность и безопасность технических систем: учебное пособие для выполнения курсовой работы / А.В. Хашковский. – Челябинск: Издательский центр ЮУрГУ, 2018. – 68 с."
"1742834187-3","https://scilead.ru/search?q=%D0%BA%D0%B8%D0%B1%D0%B5%D1%80%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C","Суняева Кристина ВячеславовнаПротиводействие организации незаконной миграции как направление обеспечения национальной безопасности","https://scilead.ru/article/5386-protivodejstvie-organizatsii-nezakonnoj-migra","ПРОТИВОДЕЙСТВИЕ ОРГАНИЗАЦИИ НЕЗАКОННОЙ МИГРАЦИИ КАК НАПРАВЛЕНИЕ ОБЕСПЕЧЕНИЯ НАЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ","Суняева Кристина Вячеславовна","Обеспечение национальной безопасности является одним из важнейших направлений деятельности государственных органов Российской Федерации. Она выражается в защите граждан страны, интересов общества и государства от угроз внешнего и внутреннего характера, направлена на защиту прав и интересов каждого отдельного человека или социально-значимой группы. Основная цель национальной безопасности – сохранение суверенитета России, поддержание независимости и её целостности, а также устойчивое развитие государства в различных социально-правовых направлениях, в частности, в политическом, экономическом, правовом, социальном пространстве и др. [1, с. 269]. 

Россия является страной, которая привлекает большое количество мигрантов из других стран, в основном это страны с низкими уровне жизни, условиями для проживания и труда, к таким странам относятся Таджикистан, Киргизия, Казахстан, Армения, Азербайджан. Как показывает опыт миграционных служб, основной целью миграции считается трудоустройство, и большой поток иностранных граждан всегда находится под пристальным вниманием правоохранительных органов. 

Высокий спрос на миграцию иностранных граждан на территорию России заставляет государство регулярно обновлять законодательную базу и разрабатывать новые направления политики в отношении регуляции миграционных процессов, для того чтобы исключить нарушения безопасности и суверенитета страны. Анализ опыта зарубежных стран показывает, что высокий рост миграции из-за различных геополитических волнений, приводит к росту экстремизма, терроризма или даже к геноциду, что в свою очередь, увеличивает рост преступности. 

Проведя мониторинг официальной миграции на территории России за последние 4 года, автор приходит к следующим выводам. 

Во-первых, начиная с 2020 года трудно судить о реальной картине миграционных процессов, так как в период распространения коронавирусной инфекции Covid-19 как в законодательстве иностранных государств, так и на территории России были введены отдельные законодательные акты, которые запрещали, ограничивали или продлевали регистрационные действия мигрантов. Так, в 2022 году на территории России зарегистрировано 685 тыс. мигрантов, в 2021 году показатель составил 668 тыс., в 2020 году – 306 тыс., в 2019 – 696 тыс. [2, с. 2] 

Во-вторых, даже несмотря на не четкую картину роста мигрантов, очевидно, что официальная статистика показывает высокий приток мигрантов, Но основной проблемой, которая ставит под угрозу национальную безопасность России является организация незаконной миграции. 

Так, ст. 322.1 УК РФ под организацией незаконной миграции понимается умышленное совершение действий, создающих условия для осуществления одним или несколькими иностранными гражданами или лицами без гражданства незаконного въезда в РФ, незаконного пребывания в РФ, незаконного транзитного проезда через территорию РФ, включая въезд в РФ иностранных граждан по туристическим визам с целью незаконной миграции в другое государство с использованием территории РФ в качестве транзитной [3]

Для того чтобы иностранный гражданин стал незаконным мигрантом, есть три способа: 

1. Незаконное пересечение границы, то есть въезд на территорию РФ без действительных правоустанавливающих документов, как правило, это загранпаспорт.

2. Пересечение границы в законном порядке, но с нарушением оформления или действия правоустанавливающих документов, например, просроченный загранпаспорт, отсутствие штампа УФМС о регистрации, нарушение сроков визы.

3. Получение визы на учебу, но при этом нарушение данного вида деятельности и применение иного, например, используя свое нахождение на территории РФ с целью трудовой деятельности [4, с. 316]. 

         Как считает Е. В. Филашов незаконные миграционные процессы являются высокой угрозой для национальной безопасности, так как содержат в себе ряд угроз [5, с. 161]. 

1. Например, это могут быть увеличение незаконной теневой экономики, что способствует высокому росту так называемых серых денег, которые не находятся в поле зрения налоговых и иных государственных органов, и в целом, негативно влияют на экономическое развитие страны. 

2. Также, одной из основных угроз национальной безопасности при незаконной миграции является негативное влияние на политическое развитие страны, при этом нарушаются геополитическая обстановка, снижается статусность страны на уровне международных отношений. 

3. В зоне риска находится и социальная ветвь развития страны, так как большое количество незаконно въехавших в страну мигрантов порождают рост безработицы среди российского населения, и как следствие, растет бедность населения и низкий уровень жизни. 

4. Учитывая и без того высокий эпидемиологический индекс, при незаконной миграции возрастет риск распространения новых несвойственных для российского населения инфекционных заболеваний, что в значительной мере снижает общий иммунитет и здоровье населения. 

В своих исследованиях Р. Б. Саитжанов отмечает, что на сегодняшний день противодействие незаконной миграции носит глобальный характер, и является социальной проблемой [6, с. 812]. 

На уровне России правовое регулирование, направленное на противодействие организованной миграционной политики, рассредоточены по разным нормативным правовым актам [7, с. 449]. Так, данный правой институт в рамках противодействия и обеспечения национальной безопасности, регулируется УК РФ, в частности, ст. 322.1. На сегодняшний день данная статья подразумевает санкции в виде лишения свободы на срок до 5 лет, группой лиц по предварительному сговору, или в целях совершения преступления на территории РФ или же при использовании служебного положения – лишение свободы на срок до 7 лет с штрафом до 500 000 рублей.  

Но несмотря на уголовное наказание, практика показывает, что незаконная миграция имеет тенденцию к росту, а это значит, что имеющихся мер для противодействия недостаточно. На взгляд автора, необходимо разработать более эффективные меры, которые будут носить комплексный характер и иметь государственный контроль. К таким мерам необходимо отнести: 


	ужесточение уголовного наказания в отношении как самих организаторов незаконной миграции, так и самих незаконных мигрантов, вплоть до депортации без права въезда в страну;
	ужесточить санкции для российских работодателей, которые принимают на работу иностранных граждан без регистрации или с нарушениями регистрационного процесса; 
	усилить контроль и ввести санкции на пограничных пунктах контроля за организацию незаконной миграции иностранцев, которые основаны на взятках и сговоре;
	повысить престиж и значимость процесса миграции, путем реализации различных квот, привлечения высокопрофессиональных специалистов, упрощения процесса регистрации мигрантов.


Вышеуказанные меры могут значительно сократить рост незаконной миграции граждан, в связи с чем снизится потенциальная угроза для национальной безопасности страны.","Бегеза В. В. Национальная безопасность: понятия, содержание, значение // Вестник Национального института бизнеса. 2017. С. 269-274.Ефремов И. А. Предварительные итоги международной миграции населения в России в 2022 году // Мониторинг экономической ситуации в россии №3 (168). С. 1-3.Уголовный кодекс Российской Федерации : Федеральный закон от 13.06.1996 г. № 63–ФЗ // СЗ РФ. 1996. №25. Ст. 2954.Шемякина Л. Н. Незаконная миграция как угроза национальной безопасности Российской Федерации// Молодой ученый. 2020. № 51 (341). С. 316-318.Филашов Е. В. Понятие миграции, незаконной миграции и борьбы с незаконной миграцией //Образование и право. 2020. №3. С. 160-163.Саитжанов Р. Б. Незаконная миграция как угроза национальной безопасности Российской Федерации // Аллея науки. 2023. Т. 2. № 5 (80). С. 812-815.Чигирева М. А., Копылова О. П. Правовое регулирование миграции и нелегальной миграции // Science Time. 2017. С. 449-455."
"1742834192-4","https://scilead.ru/search?q=%D0%BA%D0%B8%D0%B1%D0%B5%D1%80%D0%B1%D0%B5%D0%B7%D0%BE%D0%BF%D0%B0%D1%81%D0%BD%D0%BE%D1%81%D1%82%D1%8C","Кулебакин Илья ИвановичРоль технологий блокчейн в построении безопасного интернета вещей (iot)","https://scilead.ru/article/8251-rol-tekhnologij-blokchejn-v-postroenii-bezopa","РОЛЬ ТЕХНОЛОГИЙ БЛОКЧЕЙН В ПОСТРОЕНИИ БЕЗОПАСНОГО ИНТЕРНЕТА ВЕЩЕЙ (IOT)","Кулебакин Илья Иванович","В современную эпоху цифровой трансформации концепция интернета вещей (IoT) становится одним из ключевых драйверов технологического прогресса, формируя новую парадигму взаимодействия между устройствами, системами и людьми. Масштабное внедрение IoT-технологий охватывает различные сферы человеческой деятельности, от промышленного производства и здравоохранения до умных городов, создавая инфраструктуру глобальной сетевой экосистемы. Однако стремительное развитие данной области сопровождается значительными вызовами, связанными с обеспечением безопасности, надежности и приватности данных, циркулирующих между множеством автономных устройств. В условиях экспоненциального роста количества подключенных устройств и объемов передаваемой информации актуальность поиска эффективных решений для защиты IoT-инфраструктуры становится особенно значимой.

Технология блокчейн представляет собой инновационный подход к организации распределенных систем, который демонстрирует высокий потенциал в контексте решения задач безопасности интернета вещей.  Благодаря своей децентрализованной архитектуре, криптографической защищенности и неизменности записываемых данных, блокчейн способен преодолеть многие ограничения традиционных централизованных систем управления IoT. Данная технология позволяет создать доверенную среду взаимодействия между устройствами без необходимости использования центрального сервера, что существенно снижает риски атак и несанкционированного доступа. Кроме того, применение блокчейна открывает возможности для реализации безопасных механизмов аутентификации, авторизации и межкомпонентного обмена данными, что является критически важным для функционирования распределенных IoT-сетей. Благодаря этим преимуществам интеграция блокчейна в интернет вещей приобретает стратегическое значение, особенно в условиях быстрого роста количества подключенных устройств. IoT-технологии уже широко применяются в различных сферах, формируя основу цифровой инфраструктуры [3]. Например, в промышленности они обеспечивают интеллектуальный мониторинг производственных процессов и оптимизацию цепочек поставок, а в здравоохранении – дистанционный контроль состояния пациентов и автоматизацию управления медицинским оборудованием. В городской инфраструктуре IoT-решения также нашли своё применение. Например, в Барселоне внедрена интеллектуальная система управления парковочными местами, которая позволила снизить уровень загрязнения воздуха и улучшить транспортную доступность. Подобные проекты показывают, что грамотно спроектированные IoT-решения способны не только повышать удобство городской среды, но и решать экологические и логистические задачи [5]. Стоит отметить, что развитие интернета вещей тесно связано и с другими передовыми технологиями, такими как искусственный интеллект, облачные вычисления и аналитика больших данных. Их интеграция позволяет создавать интеллектуальные системы, способные анализировать информацию в режиме реального времени и принимать решения без вмешательства человека. Такой подход открывает новые перспективы для цифровой трансформации бизнеса, автоматизации производства и оптимизации городских процессов [2].

Однако широкое распространение интернета вещей сопровождается серьезными вызовами в сфере кибербезопасности. Одной из ключевых проблем остается защита огромного числа подключенных устройств от кибератак и несанкционированного доступа. Исследования показывают, что значительная часть IoT-устройств имеет уязвимости в системе безопасности, что создает риски как для отдельных пользователей, так и для крупных организаций [1]. Проблема усугубляется тем, что большинство решений по управлению IoT основано на централизованных архитектурах, подверженных атакам типа ""отказ в обслуживании"" (DDoS) и другим видам киберпреступлений [4]. Для решения вышеизложенных проблем активно исследуются новые подходы к организации безопасности IoT-систем. Среди ключевых направлений – усовершенствование методов аутентификации и внедрение надежных криптографических протоколов, которые минимизируют риски несанкционированного доступа и атак на устройства. Также разрабатываются стандарты и универсальные протоколы, обеспечивающие совместимость различных элементов IoT-инфраструктуры, что позволяет создавать более защищенные и масштабируемые экосистемы. 

Таким образом, блокчейн открывает новые перспективы для повышения безопасности и эффективности IoT-систем, позволяя минимизировать угрозы, связанные с централизованными архитектурами, и обеспечивать надежный обмен данными. Однако для успешной реализации этих возможностей необходимо дальнейшее развитие технологий масштабируемости, создание универсальных стандартов и совершенствование механизмов защиты данных. Эти аспекты требуют совместных усилий научного сообщества, разработчиков и регулирующих органов, чтобы сформировать безопасную и устойчивую экосистему интернета вещей будущего.","Гельфанд А. М. и др. Интернет вещей (IoT): угрозы безопасности и конфиденциальности //Актуальные проблемы инфотелекоммуникаций в науке и образовании (АПИНО 2021). – 2021. – С. 215-220Ядровская М. В., Поркшеян М. В., Синельников А. А. Перспективы технологии интернета вещей // Advanced Engineering Research (Rostov-on-Don). – 2021. – Т. 21. – №2. – С. 207-217Гордиенко Е. П. Интернет вещей: история появления и перспективы применения // Актуальные проблемы и перспективы развития транспорта, промышленности и экономики России («ТрансПромЭк-2023»). – 2023. – С. 40Намиот Д. Е., Сухомлин В. А. О кибербезопасности систем интернета вещей // International Journal of Open Information Technologies. – 2023. – Т. 11. – №2. – С. 85-97Раупов Ж. Р. Международный опыт использования технологий интернета вещей в цифровых платформах // Raqamli iqtisodiyot (Цифровая экономика). – 2023. – №3. – С. 91-100"
