web-scraper-order,web-scraper-start-url,document url,document url-href,Title,Date,Text body,Author
1743440927-1,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,"СОВРЕМЕННЫЕ ПОДАВИТЕЛИ ДРОНОВ, ИХ РАЗНОВИДНОСТИ И АКТУАЛЬНОСТЬ ПРИМЕНЕНИЯ",https://cyberleninka.ru/article/n/sovremennye-podaviteli-dronov-ih-raznovidnosti-i-aktualnost-primeneniya,"СОВРЕМЕННЫЕ ПОДАВИТЕЛИ ДРОНОВ, ИХ РАЗНОВИДНОСТИ И АКТУАЛЬНОСТЬ ПРИМЕНЕНИЯ",2024,"В данной статье были рассмотрены современные подавители дронов, их характеристики, разновидности по числу каналов, мощности, диапазону покрытия и виду установки, особенности применения на практике каждой модели, а также актуальность применения данных защитных устройств в современных конфликтах и при ведении военных действий будущего и защите гражданских объектов производства и критической инфраструктуры государства.",Д.А. Моисеев
1743440931-2,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ГЕОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ МОРСКОГО ДНА С ИСПОЛЬЗОВАНИЕМ ДРОНОВ,https://cyberleninka.ru/article/n/geologicheskie-issledovaniya-morskogo-dna-s-ispolzovaniem-dronov,ГЕОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ МОРСКОГО ДНА С ИСПОЛЬЗОВАНИЕМ ДРОНОВ,2024,"В статье рассматриваются перспективы использования дронов в геологических исследованиях морского дна, а также основные вызовы, связанные с их применением. Обсуждаются преимущества дроновых технологий, такие как снижение стоимости и повышение безопасности научных экспедиций, а также возможности для более детального изучения морских экосистем. Рассмотрены проблемы, такие как ограниченная глубина погружения и сложности с интеграцией данных с различных датчиков. Прогнозируется, что развитие автономных систем и новых аккумуляторов откроет новые горизонты для глубоководных исследований. В статье подчеркивается необходимость создания международных стандартов для унификации и повышения эффективности использования дронов в глобальных научных проектах.",Литвинов Олег Андреевич
1743440933-3,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,"РАЗВИТИЕ АВТОНОМНОГО ТРАНСПОРТА: АВТОМОБИЛИ, ДРОНЫ, КОРАБЛИ",https://cyberleninka.ru/article/n/razvitie-avtonomnogo-transporta-avtomobili-drony-korabli,"РАЗВИТИЕ АВТОНОМНОГО ТРАНСПОРТА: АВТОМОБИЛИ, ДРОНЫ, КОРАБЛИ",2024,"В статье рассматриваются ключевые технологии, лежащие в основе автономного транспорта, включая искусственный интеллект, машинное обучение, системы компьютерного зрения и сенсоры. Также анализируются преимущества внедрения автономных решений, такие как снижение аварийности, повышение эффективности логистики и сокращение экологического воздействия.",Атаев Д.
1743440937-4,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,"РОБОТИЗАЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА: ДРОНЫ, ТРАКТОРЫ И СЕНСОРЫ",https://cyberleninka.ru/article/n/robotizatsiya-selskogo-hozyaystva-drony-traktory-i-sensory,"РОБОТИЗАЦИЯ СЕЛЬСКОГО ХОЗЯЙСТВА: ДРОНЫ, ТРАКТОРЫ И СЕНСОРЫ",2024,"В статье рассматриваются основные технологии, используемые в роботизации сельского хозяйства, и их применение на различных стадиях производства — от посева до сбора урожая. Особое внимание уделяется использованию дронов для мониторинга состояния посевов, автономных тракторов для обработки земли и сенсоров для контроля состояния почвы, влажности и других важных агрономических факторов.",Менлиева А.
1743440940-5,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,АНАЛИЗ И ПЕРСПЕКТИВЫ ВНЕДРЕНИЯ ДРОНОВ В СЕЛЬСКОЕ ХОЗЯЙСТВО,https://cyberleninka.ru/article/n/analiz-i-perspektivy-vnedreniya-dronov-v-selskoe-hozyaystvo,АНАЛИЗ И ПЕРСПЕКТИВЫ ВНЕДРЕНИЯ ДРОНОВ В СЕЛЬСКОЕ ХОЗЯЙСТВО,2024,"В данной статье проведена оценка финансового состояния агропромышленной компании. Рассматривается прогноз развития сферы растениеводства в агропромышленном комплексе. В качестве перспективного направления развития принято внедрение дронов как основных инструментов возделывания сельскохозяйственных культур в сфере растениеводства. Дроны помогают отслеживать состояние растений, мониторить почву, осуществлять посадку растений, а также проводить опрыскивание и опыление. На примере крупнейшей агропромышленной компании юга России доказано, что внедрение беспилотных летательных аппаратов с заданными характеристиками будут положительно воздействовать на динамику развития агропромышленного комплекса и сельского хозяйства, в частности. Расчет показателей проведен с помощью статистических методов и методов дисконтирования для более полного раскрытия проблемы.",А.А. Халяпин
1743440944-6,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ИСПОЛЬЗОВАНИЕ ДРОНОВ В ТОЧНОМ ЗЕМЛЕДЕЛИИ: ВОЗМОЖНОСТИ И ПРЕИМУЩЕСТВА,https://cyberleninka.ru/article/n/ispolzovanie-dronov-v-tochnom-zemledelii-vozmozhnosti-i-preimuschestva,ИСПОЛЬЗОВАНИЕ ДРОНОВ В ТОЧНОМ ЗЕМЛЕДЕЛИИ: ВОЗМОЖНОСТИ И ПРЕИМУЩЕСТВА,2024,"В статье рассмотрены перспективы и преимущества использования дронов в точном земледелии. Проанализированы технологические возможности дронов, такие как мониторинг полей, распределение удобрений и химических средств защиты, а также управление поливом.",Клияненко К.М.
1743440947-7,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ИСПОЛЬЗОВАНИЕ ДРОНОВ И РОБОТОТЕХНИКИ В ПРАВОПОРЯДКЕ: ПЕРСПЕКТИВЫ И ОГРАНИЧЕНИЯ,https://cyberleninka.ru/article/n/ispolzovanie-dronov-i-robototehniki-v-pravoporyadke-perspektivy-i-ogranicheniya,ИСПОЛЬЗОВАНИЕ ДРОНОВ И РОБОТОТЕХНИКИ В ПРАВОПОРЯДКЕ: ПЕРСПЕКТИВЫ И ОГРАНИЧЕНИЯ,2023,"В данной статье рассматривается роль новых технологий таких как дроны в праве, а также в других сферах жизнедеятельности.",Пашян А.А.
1743440949-8,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ИСПОЛЬЗОВАНИЕ ДРОНОВ В ЛОГИСТИКЕ: НОВЫЕ ВОЗМОЖНОСТИ И ВЫЗОВЫ,https://cyberleninka.ru/article/n/ispolzovanie-dronov-v-logistike-novye-vozmozhnosti-i-vyzovy,ИСПОЛЬЗОВАНИЕ ДРОНОВ В ЛОГИСТИКЕ: НОВЫЕ ВОЗМОЖНОСТИ И ВЫЗОВЫ,2023,"В данной аннотации рассматривается тема использования беспилотных летательных аппаратов (дронов) в сфере логистики. Освещаются основные преимущества и возможности применения дронов в различных логистических процессах, таких как доставка грузов, мониторинг и контроль транспортных средств и объектов инфраструктуры, а также проведение спасательных операций и мероприятий по обеспечению безопасности. Отдельное внимание уделяется правовым аспектам использования дронов и вызовам, с которыми сталкиваются компании, внедряющие беспилотные технологии в свою деятельность.",Атдаева Бахар
1743440952-9,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,РАЗВИТИЕ БЕСПИЛОТНЫХ ЭЛЕКТРИЧЕСКИХ ДРОНОВ В ГРАЖДАНСКОЙ АВИАЦИИ,https://cyberleninka.ru/article/n/razvitie-bespilotnyh-elektricheskih-dronov-v-grazhdanskoy-aviatsii,РАЗВИТИЕ БЕСПИЛОТНЫХ ЭЛЕКТРИЧЕСКИХ ДРОНОВ В ГРАЖДАНСКОЙ АВИАЦИИ,2023,В ходе исследования были изучены перспективы внедрения нового направления в авиации - беспилотных электрических дронов. Был рассмотрен потенциал применения беспилотных летательных аппаратов в авиационной и космической отраслях.,Игнатьев В.Е.
1743440955-10,https://cyberleninka.ru/search?q=%D0%B4%D1%80%D0%BE%D0%BD%20&page=1,ВЛИЯНИЕ ДРОНОВ И ИСКУССТВЕННОГО ИНТЕЛЛЕКТА НА СЕЛЬСКОЕ ХОЗЯЙСТВО,https://cyberleninka.ru/article/n/vliyanie-dronov-i-iskusstvennogo-intellekta-na-selskoe-hozyaystvo,ВЛИЯНИЕ ДРОНОВ И ИСКУССТВЕННОГО ИНТЕЛЛЕКТА НА СЕЛЬСКОЕ ХОЗЯЙСТВО,2018,"Изучается возможности и способы улучшения аграрного сектора с помощью дронов. Рассматриваются разновидности дронов их особенности и то, что они могут предоставить фермерам, а также изменения с приходом дронов в сельском хозяйство.",Чуйкин К.А.
