web-scraper-order,web-scraper-start-url,article,article-href,title,authors,article_text,date
"1743439132-1","https://cyberleninka.ru/search?q=%D0%9A%D0%BE%D1%81%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2%D0%BE%D1%80%D0%B0%D0%BA%D0%B5%D1%82%D0%BD%D0%B0%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B0&page=1","Ядерное оружие как угроза глобальной безопасности в начале XXI века","https://cyberleninka.ru/article/n/yadernoe-oruzhie-kak-ugroza-globalnoy-bezopasnosti-v-nachale-xxi-veka","Ядерное оружие как угроза глобальной безопасности в начале XXI века","Оскольская Д. И.","Текст научной работы на тему «Ядерное оружие как угроза глобальной безопасности в начале XXI века»
      
        
          
        
				
        ﻿XII МЕЖДУНАРОДНАЯ КОНФЕРЕНЦИЯ «ПОСТБИПОЛЯРНЫЙ МИР: ПРОБЛЕМЫ БЕЗОПАСНОСТИ ЕВРОАЗИАТСКОГО ГЕОСТРАТЕГИЧЕСКОГО
        ПРОСТРАНСТВА»
        ОскольскаяД.И.
        ФГБОУ ВПО «Кубанский государственный университет»
        oskdasha2014@gmail.com
        ЯДЕРНОЕ ОРУЖИЕ КАК УГРОЗА ГЛОБАЛЬНОЙ БЕЗОПАСНОСТИ В НАЧАЛЕ
        XXI ВЕКА
        Аннотация: В статье анализируются основные ядерные угрозы, возникшие в начале XXI века. Особое внимание уделяется Северокорейскому кризису, соглашению по ядерной программе Ирана, а также ядерной политике президента США Дональда Трампа.
        Ключевые слова: ядерное оружие, ядерное сдерживание, ядерная угроза, ядерная программа, ядерный арсенал, ядерный потенциал, боезаряды.
        Наличие оружия массового уничтожения является важнейшей проблемой для всего мирового сообщества. Несколько поколений живут в эпоху существования самого мощного и разрушительного за всю историю человечества оружия, способного уничтожить нашу планету в считанные секунды. В течение прошлого века было проведено более двух тысяч испытаний, которые показали, что ядерный взрыв, в первую очередь, опасен выбросом мощнейшего количества энергии, разрушающее действие которой в тысячи раз превосходит взрывы самых крупных авиационных бомб, снаряжённых обычными взрывчатыми веществами. Разрушение ядерным оружием носит массовый характер и наносит противнику невосполнимые потери в живой силе, боевой технике и инфраструктуре1. На сегодняшний день единственным практическим примером применения атомного оружия в войне являются бомбардировки ВВС США японских городов Хиросима и Нагасаки 6 и 9 августа 1945 г., жертвами которых стали более 450 тысяч человек2.
        Политика в области ядерного оружия контролируется ядерным клубом, т. е. государствами, которые осуществляют разработку, производство и испытания ядерного оружия. Страны-члены ЯК сегодня: США, Россия, Великобритания, Франция, Китай, Индия, Пакистан, КНДР, и предположительно Израиль. Лидерами данного клуба являются США и Россия как обладатели наибольшего ядерного потенциала.
        Несмотря на постоянное стремление ядерных держав сократить мировой ядерный арсенал, на практике проявилось несовершенство фундаментальной правовой основы в сфере контроля над вооружениями. Двусторонние переговорные процессы, затронули лишь часть систем ядерных вооружений - стратегические наступательные вооружения и ракеты средней и меньшей дальности3. В договорах ОСВ-1 и ОСВ-2 не упоминается обширный класс тактических ядерных систем. Вне международно-правовой системы также находятся и ядерные вооружения других официальных членов «ядерного клуба»: Франции, Великобритании и Китая.
        К началу XXI в. мир накопил колоссальный арсенал ядерного оружия. Согласно сведениям Стокгольмского международного института исследований проблем мира, за период 2016-2017 гг. ядерные державы сумели сократить количество ядерных боезапасов, но в то же время вложили огромные денежные средства в их модернизацию. Отмечается, что страны-члены ядерного клуба обладают примерно 14 935 ядерными боезарядами.
        1	Внешнеполитическая и дипломатическая деятельность Российской Федерации в2009 г.: обзор МИДРоссии М, 2010. Март.
        2	Взаимосвязь ядерного разоружения и нераспространения: реальность или миф?/ А.Г. Арбатов и др.; под ред. А.Г. Арбатова, В.З. Дворкина, С.К. Ознобищева. М., 2011.
        3	Антонов А. Контроль над вооружениями: история, состояние, перспективы. М.: Наука, 2012.
        Специалисты института утверждают, что нет ни единого признака того, что ядерные государства готовы в ближайшем будущем отказаться от своих ядерных запасов, и можно сделать вывод о том, что процесс ядерного разоружения замедлился1. В первую очередь, это объясняется тем, что ядерные державы, якобы по-прежнему придерживаются идеи ядерного сдерживания.
        Торможение разоруженческого диалога оказывает негативное влияние и на режим нераспространения ядерного оружия. Уже сегодня, по данным МАГАТЭ, существует около 30 стран, обладающих потенциалом создания ядерного оружия. Такая статистика вызывает обеспокоенность мировой общественности по поводу приобретения ОМП региональными державами и государствами «третьего мира» с политически опасными режимами. Как правило, такие государства ведут агрессивную внешнюю политику, что увеличивает угрозу глобальной безопасности.
        Октябрь этого года ознаменован пятидесятипятилетней годовщиной Карибского кризиса, - события, окончательно определившего роль атомного оружия. После событий 1962 г., ядерное оружие воспринимается исключительно как виртуальный инструмент, сдерживающий вражеские силы. Реальное применение оружия в войне казалось немыслимым. Понимание этого и является главным уроком кубинских событий.
        Однако сейчас политика некоторых государств, можно сказать, блокирует «карибское наследие». В первую очередь, речь идёт о развитии ситуации вокруг корейского полуострова, во многом спровоцированной президентом США Д. Трампом. КНДР полным ходом проводит новые атомные испытания, совершенствует межконтинентальные баллистические ракеты, которые вскоре будут способны перенести ядерные боеголовки на американский континент. Следуя такой политике, КНДР может спровоцировать Южную Корею и Японию создать их собственный ядерный арсенал, что, между прочим, им вполне под силу. Это приведёт к полной нуклеаризации Восточной Азии и будет представлять прямую угрозу мировому сообществу2.
        Помимо этого, северокорейский кризис специфичен тем, что здесь не идёт речь о масштабном столкновении двух одинаково мощных в ядерном плане держав, как, например, в период холодной войны, а о противостоянии сверхдержавы США с ядерным государством, которое в тысячи раз слабее. В случае военного нападения США на Северную Корею, со стороны последней незамедлительно последует ядерный удар, так как это единственная возможность противостоять более мощной силе. В первую очередь КНДР ответит ударом по союзнику США в восточноазиатском регионе - Южной Кореи. Другой возможный вариант -удар КНДР по Японии, а именно по Гуаму. При таких обстоятельствах американцы гарантированно уничтожат КНДР (и возможно, даже без помощи ядерного оружия). Но особо важен тот факт, что единичное применение КНДР ядерного оружия, как раз, и является целью американского правительства. Во-первых, в этих условиях США получают полную свободу действий относительно Северной Кореи. А во - вторых, что особо примечательно, итог Карибского кризиса, а именно запрет на использование ядерного оружия в войне, полностью разрушится. И в ответе за это будут не американцы, а северокорейцы. Подобная ситуация может привести к весьма негативным последствиям для всего мирового сообщества, а именно, повсеместное использование атомного оружия.
        В целом, восприятие державами угрозы ядерного фактора не одинакова. Исходя из американской ядерной политики последних лет, становится очевидным, что США пренебрегают необходимостью разоруженческого диалога и тем самым оказывают негативное влияние на режим нераспространения ОМУ. В первую очередь, об этом
        1	Добровольский А. Тайны XX века// Московский Комсомолец, 2015. № 166.
        2	Барабанов О. 55 лет Карибскому кризису и угроза ядерной войны сегодня// Форум международного дискуссионного клуба «Валдай». 2017. URL: http://m.valdaiclub.com/a/highlights/55-let-karibskomu-krizisu/?sphrase_id=22138 (дата обращения: 8.11.2017).
        свидетельствует выход Соединённых Штатов из Договора по ПРО в 2002 г. В конце 1990-х военные аналитики США пришли к выводу, что соглашение по противоракетной обороне более не удовлетворяет интересам США. За прошедшие с момента его заключения десятилетия, ракетные и ядерные технологии (основы которых были созданы еще в 1950-х) стали широко доступны: например, во время Ирано-иракской войны и в дальнейшем - во время войны в Персидском заливе, Ирак продемонстрировал способность создать дальнобойные баллистические ракеты на базе советских Р-171. Всё это привело к тому, что США сочли необходимым создание противоракетной обороны ограниченной мощности, позволяющей избежать ядерного шантажа со стороны третьих стран, которые располагали ядерным оружием или могли его создать в перспективе.
        В 2010 г. Д.А. Медведев предложил создать глобальную систему ПРО. Данное предложение было встречено отказом. Потерпев неудачу в согласовании совместной программы ПРО, стороны приступили к разработке и развертыванию собственных систем обороны национальной территории (и союзников). Необходимо подчеркнуть, что в диалоге с Россией в 2006-2008 гг. и 2010-2011 гг. США не проявляли достаточной понимания того, что единство с Россией по проблемам нераспространения намного важнее тех или иных технико-географических параметров программы ПРО.
        Развёртывания элементов системы глобальной ПРО США в Восточной Европе, подвергались критике со стороны России, так как это может привести к очередному витку гонки вооружений, поскольку «ракетного оружия, реально угрожающего Европе, с дальностью действия 5—8 тыс. км нет ни у одной из так называемых проблемных стран». Исходя из ядерной политики США последних лет, становится очевидным, что США готовятся нанести ядерный удар по России2. Только этим можно объяснить появление новых военных баз в Европе и проведение массовых военных учений НАТО.
        С приходом к власти Дональда Трампа последние надежды на возможный когда-либо безъядерный мир полностью рассеялись. Первым приказом нового президента стало поручение военному министру провести оценку текущего ядерного арсенала США, а также сформулировать предложения по их дальнейшему развитию. Ещё в своей предвыборной компании Трамп неоднократно заявлял, что Соединённым Штатам необходимо увеличить количество ядерных боеголовок, повысить их качество и быть готовыми ответить на любую угрозу XXI в.
        Помимо этого, в последние месяцы возникла новая ядерная угроза. В случае, введения Конгрессом США санкций в отношении Ирана, договоренность по ядерной программе этой страны может быть аннулирована. Ранее Дональд Трамп обозначил соглашение по ядерной программе Ирана, как одну из самых худших сделок за всю историю США, и заявил, что его страна вправе в любой момент расторгнуть договорённости и возобновить введение санкций, тем самым пренебрегая интересами союзников. На что президент Ирана Хасан Рухани ответил, что в случае введения новых санкций Иран откажется от сделки в течение нескольких часов. На фоне событий в Северной Корее, подобные действия президента США можно расценивать как крайне безответственные
        И наконец, наиболее печален тот факт, что на сегодняшний день нет возможности отказаться от ядерного оружия, так как оно по-прежнему воспринимается как гарант суверенитета. 20 сентября 2017 г. произошло исторически важное событие - подписание Договора о запрещении ядерного оружия. Соглашение поддержали 122 государства-члена ООН, но самое главное - это событие проигнорировали государства - участники ядерного клуба. Спустя несколько часов после подписания договора США, Великобритания и
        1	Никитин А.И. Международный экспертный диалог по преодолению кризисных явлений в сфере контроля над вооружениями и ядерного нераспространения// Есть ли будущее у контроля над вооружениями? - М., 2014.
        2	Неядерные факторы ядерного разоружения (противоракетная оборона, высокоточные обычные вооружения, космическое оружие)/ А.ГАрбатов и др. М., 2010.
        Франция заявили, что никогда не станут его участниками. Москва также не поддержала идею соглашения, так как оно идёт вразрез с национальными интересами РФ.
        Литература:
        1.	Антонов А. Контроль над вооружениями: история, состояние, перспективы. М., 2012.
        2.	Барабанов О. 55 лет Карибскому кризису и угроза ядерной войны сегодня// Форум международного дискуссионного клуба «Валдай». 2017. URL: http://ru.valdaiclub.com/a/highlights/55-let-kaiibskomu-krizisu/?sphrase_id=22138 (дата обращения: 8.11.2017).
        3.	Добровольский А. Тайны XX века// Московский Комсомолец, 2015. № 166.
        4.	Никитин А.И. Международный экспертный диалог по преодолению кризисных явлений в сфере контроля над вооружениями и ядерного нераспространения// Есть ли будущее у контроля над вооружениями? - М.: Наука, 2014.
        5.	Взаимосвязь ядерного разоружения и нераспространения: реальность или миф?/ А.Г. Арбатов и др.; под ред. А.Г. Арбатова, В.З. Дворкина, С.К. Ознобищева. М., 2011.
        6.	Внешнеполитическая и дипломатическая деятельность Российской Федерации в 2009 г.: обзор МИД России. М., 2010. Март.
        7.	Неядерные факторы ядерного разоружения (противоракетная оборона, высокоточные обычные вооружения, космическое оружие)/ А.Г.Арбатов и др. М., 2010.
        References:
        1.	Antonov A. Kontrol' nad vooruzheniyami: istoriya, sostoyanie, perspektivy. M., 2012.
        2.	Barabanov O. 55 let Karibskomu krizisu i ugroza yadernoj vojny segodnya// Forum mezhdunarodnogo diskussionnogo kluba «Valdaj». 2017. URL: ht:tp://ru.valdaiclub.com/a/highlights/55-let-kaIibskomu-krizisu/?sphrase_id=22138 (data obrashcheniya: 8.11.2017).
        3.	Dobrovol'skij A. Tajny XX veka// Moskovskij Komsomolec, 2015. № 166.
        4.	Nikitin A.I. Mezhdunarodnyj ehkspertnyj dialog po preodoleniyu krizisnyh yavlenij v sfere kontrolya nad vooruzheniyami i yadernogo nerasprostraneniya// Est' li budushchee u kontrolya nad vooruzheniyami? - M., 2014.
        5.	Vzaimosvyaz' yadernogo razoruzheniya i nerasprostraneniya: real'nost' ili mif?/ A.G. Arbatov i dr.; pod red. A.G. Arbatova, V.Z. Dvorkina, S.K. Oznobishcheva. M., 2011.
        6.	Vneshnepoliticheskaya i diplomaticheskaya deyatel'nost' Rossijskoj Federacii v 2009 g.: obzor MID Rossii. M., 2010. Mart.
        7.	Neyadernye faktory yadernogo razoruzheniya (protivoraketnaya oborona, vysokotochnye obychnye vooruzheniya, kosmicheskoe oruzhie)/ A.G. Arbatov i dr. M., 2010.
        NUCLEAR WEAPONS AS A THREAT TO GLOBAL SECURITY IN THE TWENTY-
        FIRST CENTURY
        Oskolskaya D.I. Kuban State University oskdasha2014@gmail.com
        Abstract: The article analyses the main nuclear threats that arose at the beginning of the 21st century. Particular attention is paid to the North Korean crisis, the agreement on Iran's nuclear program, and the nuclear policy of US President Donald Trump.
        Keywords: nuclear weapons, nuclear deterrence, nuclear threat, nuclear program, nuclear arsenal, nuclear potential, military load.
        Для цитирования: Оскольская Д.И. Ядерное оружие как угроза глобальной безопасности в начале XXI века// Архонт, 2018. № 2(5). С. 54-57.","2018"
"1743439136-2","https://cyberleninka.ru/search?q=%D0%9A%D0%BE%D1%81%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B0%D1%8F%20%D0%BF%D1%80%D0%BE%D1%82%D0%B8%D0%B2%D0%BE%D1%80%D0%B0%D0%BA%D0%B5%D1%82%D0%BD%D0%B0%D1%8F%20%D0%BE%D0%B1%D0%BE%D1%80%D0%BE%D0%BD%D0%B0&page=1","Существует ли консенсус в вопросе о противоракетной обороне? (реферативный обзор)","https://cyberleninka.ru/article/n/suschestvuet-li-konsensus-v-voprose-o-protivoraketnoy-oborone-referativnyy-obzor","Существует ли консенсус в вопросе о противоракетной обороне? (реферативный обзор)","","i
         Надоели баннеры? Вы всегда можете
           отключить рекламу.","2002"
