web-scraper-order,web-scraper-start-url,document url,document url-href,Title,Date,Text body,Author
1743440476-1,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,АНАЛИЗ И ПЕРСПЕКТИВЫ РАЗВИТИЯ БЕСПИЛОТНЫХ ЛЕТАТЕЛЬНЫХ АППАРАТОВ,https://cyberleninka.ru/article/n/analiz-i-perspektivy-razvitiya-bespilotnyh-letatelnyh-apparatov,АНАЛИЗ И ПЕРСПЕКТИВЫ РАЗВИТИЯ БЕСПИЛОТНЫХ ЛЕТАТЕЛЬНЫХ АППАРАТОВ,2021,"Современные беспилотные авиационные системы представляют собой наукоемкую, высокотехнологичную область и являются одним из наиболее перспективных направлений развития авиации, поэтому данное исследование является весьма актуальным. В статье рассмотрены тенденции развития и совершенствования авиационной беспилотной техники, проанализирован объем инвестиций в проекты беспилотных воздушных судов, показана динамика развития отечественных беспилотных летательных аппаратов (БПЛА) и территориальное разделение разработчиков и производителей беспилотных воздушных судов, определены сферы применения БПЛА, проанализировано распределение российских БПЛА по взлётной массе и типу силовой установки, рассмотрены преимущества БПЛА по сравнению с пилотируемыми летательными аппаратами, изучены барьеры развития рынка БПЛА и перспективы беспилотной авиации в России. При подготовке данной работы использованы следующие методы исследования: анализ трудов российских и зарубежных ученых по развитию беспилотных летательных аппаратов, анализ нормативно-правовой базы (различного уровня), методы логических построений, обобщения, аналогий, сравнения, статистики, системного и ситуационного анализа.",Просвирина Наталья Викторовна
1743440479-2,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,"ПРАВОВЫЕ ОСНОВЫ ИСПОЛЬЗОВАНИЯ БЕСПИЛОТНЫХ ЛЕТАТЕЛЬНЫХ АППАРАТОВ В ЗЕМЛЕУСТРОЙСТВЕ И КАДАСТРЕ, ВКЛЮЧАЯ МЕЖДУНАРОДНЫЙ АСПЕКТ",https://cyberleninka.ru/article/n/pravovye-osnovy-ispolzovaniya-bespilotnyh-letatelnyh-apparatov-v-zemleustroystve-i-kadastre-vklyuchaya-mezhdunarodnyy-aspekt,"ПРАВОВЫЕ ОСНОВЫ ИСПОЛЬЗОВАНИЯ БЕСПИЛОТНЫХ ЛЕТАТЕЛЬНЫХ АППАРАТОВ В ЗЕМЛЕУСТРОЙСТВЕ И КАДАСТРЕ, ВКЛЮЧАЯ МЕЖДУНАРОДНЫЙ АСПЕКТ",2023,"на современном этапе развития науки и техники беспилотные летательные аппараты (БПЛА) широко используются в различных сферах деятельности, включая сферу землеустройства и кадастра. БПЛА облегчают задачу землеустроителей, сокращают временные рамки для проведения работ и улучшают точность результатов, т.е. повышают эффективность и производительность указанной отрасли. Правовая регламентация применения БПЛА в настоящее время находится в стадии формирования. Как применение и других технологий Индустрии 4.0, таких как искусственный интеллект, Интернет вещей, Big data и т.д, создающих технологическую основу для цифровизации всех отраслей экономики, так и использования БПЛА в сфере землеустройства и кадастра нуждается в создании актуального правового регулирования.",Дроздова Мария Александровна
1743440481-3,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,"ПРОЦЕСС ОСНАЩЕНИЯ БУНДЕСВЕРА ДРОНАМИ: ДЕТЕРМИНИРОВАННОСТЬ, ""УЗКИЕ МЕСТА"" И РЕЗУЛЬТАТЫ К НАЧАЛУ 2020-Х ГОДОВ",https://cyberleninka.ru/article/n/protsess-osnascheniya-bundesvera-dronami-determinirovannost-uzkie-mesta-i-rezultaty-k-nachalu-2020-h-godov,"ПРОЦЕСС ОСНАЩЕНИЯ БУНДЕСВЕРА ДРОНАМИ: ДЕТЕРМИНИРОВАННОСТЬ, ""УЗКИЕ МЕСТА"" И РЕЗУЛЬТАТЫ К НАЧАЛУ 2020-Х ГОДОВ",2021,"Значимым фактором развития, а также урегулирования вооруженных конфликтов становится использование беспилотных летательных аппаратов (БПЛА). Соответственно, готовность и способность к эффективному применению БПЛА, масштаб оснащения ими вооруженных сил выступают важными критериями дееспособности «военной машины» любого государства. В статье рассматривается развитие данных процессов на примере вооруженных сил Германии, традиционно опирающихся в своем развитии на мощную и передовую промышленную базу. Оснащение бундесвера роботизированной техникой позволяет не только решить ряд важных задач развития вооруженных сил страны, но и восполнить нехватку значительно сократившегося в предыдущие десятилетия личного состава, что особенно важно в условиях планируемого долгосрочного роста всех параметров «военной машины» ФРГ. Рассматривается «линейка» небоевых, прежде всего разведывательных, дронов германских армии и флота, особенности применения данной техники в зонах вооруженных конфликтов. При этом подчеркивается ряд трудностей в деле оснащения германских войск БПЛА. Внимание уделено вопросам участия ФРГ в дву- (с США) и многосторонних (с партнерами по ЕС) схемах кооперации по разработке и производству роботизированной техники. Особое внимание уделено изучению вопроса об оснащении бундесвера боевыми (вооруженными) дронами, активно и притом плавно продвигаемого руководством блока ХДС/ХСС. Раскрывается ход дискуссии в Бундестаге, прежде всего ее решающих фаз весной -осенью 2020 г. Исследуются последствия весьма вероятного положительного решения вопроса в контексте постепенного отхода официального Берлина от «стратегической сдержанности», детерминированной признанием исторической ответственности Германии за развязывание Второй мировой войны.",Трунов Филипп Олегович
1743440484-4,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,Валидация БПЛА в решении маркшейдерских задач на руднике «Дукат»,https://cyberleninka.ru/article/n/validatsiya-bpla-v-reshenii-marksheyderskih-zadach-na-rudnike-dukat,Валидация БПЛА в решении маркшейдерских задач на руднике «Дукат»,2023,"Статья посвящена исследованию существующего опыта выполнения маркшейдерских работ с помощью беспилотного летательного аппарата (БПЛА Phantom 4 Pro с режимом RTK) на руднике «Дукат». Исходя из проведенных исследований аналогово-геометрического сравнения эмпирического распределения построенных моделей определено, что использование Phantom 4 Pro с режимом RTK является приоритетным и расхождение с тахеометрической съемкой находится в пределах установленного допуска. На точность определения объёмов по фотограмметрическим данным влияет множество факторов – погрешность инструмента, точность определения координат сгущения съёмочного обоснования, геометрическая корректность объекта, исходя из этого были выполнены аппроксимация измерений и сравнительный анализ данных, полученных геодезическим и фотограмметрическим методами. Результаты исследований могут быть полезными в практической деятельности маркшейдерской службы на предприятии.",Курбатова Вероника Владимировна
1743440486-5,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,ВОЗМОЖНОСТИ ИСПОЛЬЗОВАНИЯ БПЛА ДЛЯ ПОСЕВА МЕЛКОСЕМЯННЫХ КУЛЬТУР,https://cyberleninka.ru/article/n/vozmozhnosti-ispolzovaniya-bpla-dlya-poseva-melkosemyannyh-kultur,ВОЗМОЖНОСТИ ИСПОЛЬЗОВАНИЯ БПЛА ДЛЯ ПОСЕВА МЕЛКОСЕМЯННЫХ КУЛЬТУР,2024,"Использование агротехнологий, основанных на применении беспилотных летательных аппаратов (БПЛА), становится перспективным, особенно в условиях изменения климата, когда наблюдаются температурные перепады и ливневые дожди, что затрудняет проход по чрезмерно увлажненной почве энергонасыщенными техническими средствами, которые не могут выйти в поле значительное время. Применение летательных аппаратов для посева не ново, аэропосев осуществляли раньше самолетами и вертолетами. В настоящее время используют беспилотные летательные аппараты, различающиеся по своей технической характеристике, а также по летным свойствам. Для стабильности работы, качества выполняемой операции необходимо уточнить режимы работы БПЛА и установить к конкретным моделям БПЛА агротехнические требования. Целью исследования были установление возможности посева мелкосемянных культур (рапса ярового) и разработка агротехнических требований при аэропосеве дроном XAG V 40 для получения максимального объема продукции. Исследования проводили в 2022-2023 г. в Республике Марий Эл, в ООО «Шойбулакский». Для посева использовали дрон XAG V 40. Это бикоптер, имеющий 92 Плодородие №6•2024 25-литровый резервуар для гранул или семян с дисковым разбрасывателем. Во всех опытных полетах скорость ветра 1,5 м/с, температура воздуха 18 ⁰С. Скорость полета дрона 5 м/с. В результате исследований установили возможность применения БПЛА для посева мелкосемянных культур. При использовании дрона XAG V 40 необходимо сеять яровой рапс на высоте не более 6 м с нормой высева семян 8,5 кг/га как можно в более ранние сроки при высокой влажности почвы (≈ 90 % ПВ).",Гаспарян И.Н.
1743440489-6,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,"УКРЫТИЯ, ПРИМЕНЯЕМЫЕ ДЛЯ ЗАЩИТЫ САМОЛЁТОВ ОТ АТАК БПЛА",https://cyberleninka.ru/article/n/ukrytiya-primenyaemye-dlya-zaschity-samolyotov-ot-atak-bpla,"УКРЫТИЯ, ПРИМЕНЯЕМЫЕ ДЛЯ ЗАЩИТЫ САМОЛЁТОВ ОТ АТАК БПЛА",2025,"Укрытия на аэродромах, применяемые для защиты авиационной техники, являются ключевым фактором обеспечения безопасности на аэродромах. Основной задачей укрытий является защита от внезапного нападения авиации вероятного противника. Мощные бетонные арки могут уберечь даже от прямого попадания фугасной бомбы или фугасной боевой части крылатой ракеты. Также авиационная техника обеспечивается маскировкой, чтобы противник с высоты не понимал, есть ли в укрытии самолет или нет. Помимо этих задач есть еще множество других, которые также обеспечивают защиту техники от природных явлений.",Токарев М.Н.
1743440491-7,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,ПРИМЕНЕНИЕ БЕСПИЛОТНЫХ ЛЕТАТЕЛЬНЫХ АППАРАТОВ (БПЛА) В ГЕОДЕЗИИ И КАРТОГРАФИИ,https://cyberleninka.ru/article/n/primenenie-bespilotnyh-letatelnyh-apparatov-bpla-v-geodezii-i-kartografii,ПРИМЕНЕНИЕ БЕСПИЛОТНЫХ ЛЕТАТЕЛЬНЫХ АППАРАТОВ (БПЛА) В ГЕОДЕЗИИ И КАРТОГРАФИИ,2025,"БПЛА в сочетании с современными цифровыми технологиями позволяют создавать высокоточные карты. Обследование, формирование 2D и 3D-карт с географическими привязками и моделей местности происходит в автоматическом режиме и практически с любым разрешением. Инновационные RTK-модули обеспечивают получение данных позиционирования в режиме реального времени с точностью до сантиметра и с минимальной погрешностью. Составляется маршрут полета и одновременно регулируется степень наложения кадров, скорость, параметры съемки в процессе картографирования. С помощью дрона построение ортофотопланов, трехмерных моделей местности и матриц высот происходит быстрее и дешевле, по сравнению с инструментальной съемкой с использованием электронных тахеометров.",Галата К.О.
1743440494-8,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,"ИСПОЛЬЗОВАНИЕ ТЕХНОЛОГИИ ""МАШИННОГО ЗРЕНИЯ"" ДЛЯ УПРАВЛЕНИЯ БПЛА",https://cyberleninka.ru/article/n/ispolzovanie-tehnologii-mashinnogo-zreniya-dlya-upravleniya-bpla,"ИСПОЛЬЗОВАНИЕ ТЕХНОЛОГИИ ""МАШИННОГО ЗРЕНИЯ"" ДЛЯ УПРАВЛЕНИЯ БПЛА",2019,В данной статье рассматриваются особенности использования технологии «машинного зрения» для навигации и наведения беспилотных летательных аппаратов в автономном полёте.,Мустаев А.Ф.
1743440497-9,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,ИНТЕГРИРОВАННАЯ НАВИГАЦИОННАЯ СИСТЕМА БПЛА: СТРУКТУРА И ИССЛЕДОВАНИЕ ХАРАКТЕРИСТИК,https://cyberleninka.ru/article/n/integrirovannaya-navigatsionnaya-sistema-bpla-struktura-i-issledovanie-harakteristik,ИНТЕГРИРОВАННАЯ НАВИГАЦИОННАЯ СИСТЕМА БПЛА: СТРУКТУРА И ИССЛЕДОВАНИЕ ХАРАКТЕРИСТИК,2010,"В статье рассматривается интегрированная навигационная система беспилотных летательных аппаратов (БПЛА), предлагается ее структура, и исследуются основные характеристики. Исследование свойств системы ведется по разработанной методике на программном комплексе имитационного и полунатурного моделирования. Проведено моделирование захода БПЛА на посадку в режиме коррекции бесплатформенной инерциальной системы (БИНС) от спутниковой навигационной системы (СНС) и псевдоспутников (ПС). Исследовано влияние использования сигналов ПС на точность навигационного решения СНС. Представлены результаты комплексной обработки навигационной информации в интегрированной навигационной системе.",Пронькин Андрей Николаевич
1743440499-10,https://cyberleninka.ru/search?q=%D0%91%D0%9F%D0%9B%D0%90&page=1,ПРИМЕНЕНИЕ ТЕЛЕВИЗОРНОЙ СЪЕМКИ С БПЛА ДЛЯ МОНИТОРИНГА ТЕПЛОСЕТЕЙ,https://cyberleninka.ru/article/n/primenenie-televizornoy-semki-s-bpla-dlya-monitoringa-teplosetey,ПРИМЕНЕНИЕ ТЕЛЕВИЗОРНОЙ СЪЕМКИ С БПЛА ДЛЯ МОНИТОРИНГА ТЕПЛОСЕТЕЙ,2024,В работе рассматривается перспективность применения беспилотных летательных аппаратов с установленной на них телевизорной аппаратурой для мониторинга теплосетей на предмет дефектов линий проводимости тепла. Для своевременного выявления и устранения на теплотрассах в период их эксплуатации.,Зарипов О.М.
